kid_name,activity,calendar_source,time,duration,frequency,days_of_week,start_date,end_date,address,pickup_driver,return_driver
All,🕎4️⃣ Chanukah: 4 Candles,Jewish,00:00:00,0,one-time,"[""monday""]",2026-12-07,2026-12-07,Location TBD,N/A,N/A
All,🕎5️⃣ Chanukah: 5 Candles,Jewish,00:00:00,0,one-time,"[""tuesday""]",2026-12-08,2026-12-08,Location TBD,N/A,N/A
All,🕎6️⃣ Chanukah: 6 Candles,Jewish,00:00:00,0,one-time,"[""wednesday""]",2026-12-09,2026-12-09,Location TBD,N/A,N/A
All,✡️ Chag HaBanot,Jewish,00:00:00,0,one-time,"[""thursday""]",2026-12-10,2026-12-10,Location TBD,N/A,N/A
All,🕎7️⃣ Chanukah: 7 Candles,Jewish,00:00:00,0,one-time,"[""thursday""]",2026-12-10,2026-12-10,Location TBD,N/A,N/A
All,🌒 Rosh Chodesh Tevet,Jewish,00:00:00,0,one-time,"[""thursday""]",2026-12-10,2026-12-10,Location TBD,N/A,N/A
All,🕎8️⃣ Chanukah: 8 Candles,Jewish,00:00:00,0,one-time,"[""friday""]",2026-12-11,2026-12-11,Location TBD,N/A,N/A
All,🌒 Rosh Chodesh Tevet,Jewish,00:00:00,0,one-time,"[""friday""]",2026-12-11,2026-12-11,Location TBD,N/A,N/A
All,🕎 Chanukah: 8th Day,Jewish,00:00:00,0,one-time,"[""saturday""]",2026-12-12,2026-12-12,Location TBD,N/A,N/A
All,✡️ Asara B’Tevet,Jewish,00:00:00,0,one-time,"[""sunday""]",2026-12-20,2026-12-20,Location TBD,N/A,N/A
All,🌒 Rosh Chodesh Sh’vat,Jewish,00:00:00,0,one-time,"[""saturday""]",2027-01-09,2027-01-09,Location TBD,N/A,N/A
All,🌳 Tu BiShvat,Jewish,00:00:00,0,one-time,"[""saturday""]",2027-01-23,2027-01-23,Location TBD,N/A,N/A
All,🕍 Shabbat Shirah,Jewish,00:00:00,0,weekly,"[""saturday""]",2027-01-23,2027-01-23,Location TBD,N/A,N/A
All,🌒 Rosh Chodesh Adar I,Jewish,00:00:00,0,one-time,"[""sunday""]",2027-02-07,2027-02-07,Location TBD,N/A,N/A
All,🌒 Rosh Chodesh Adar I,Jewish,00:00:00,0,one-time,"[""monday""]",2027-02-08,2027-02-08,Location TBD,N/A,N/A
All,🎭️ Purim Katan,Jewish,00:00:00,0,one-time,"[""sunday""]",2027-02-21,2027-02-21,Location TBD,N/A,N/A
All,🎭️ Shushan Purim Katan,Jewish,00:00:00,0,one-time,"[""monday""]",2027-02-22,2027-02-22,Location TBD,N/A,N/A
